=== UNMATCHED WARDS REPORT (Total: 1030) ===

PROVINCE             | DISTRICT             | WARD (Not Found)               | ID
Bạc Liêu             | Phước Long           | Đông Thạnh                     | 2337
Bạc Liêu             | Phước Long           | Ngã Sáu                        | 2339
Bạc Liêu             | Phước Long           | Phú An                         | 2342
Bạc Liêu             | Phước Long           | Phú Hữu                        | 2343
Bạc Liêu             | Phước Long           | Phú Hữu A                      | 2344
Bạc Liêu             | Phước Long           | TT. Phước Long                 | 20656
Bắc Ninh             | Gia Bình             | Đông Bình                      | 2752
Bắc Ninh             | Gia Bình             | TT. Gia Bình                   | 20985
Bắc Ninh             | Quế Võ               | Nam Sơn                        | 2786
Bắc Ninh             | Quế Võ               | Vân Dương                      | 2795
Bắc Ninh             | Từ Sơn               | Đồng Quang                     | 2835
Bến Tre              | Ba Tri               | TT. Ba Tri                     | 20673
Bến Tre              | Ba Tri               | TT. Tiệm Tôm                   | 20674
Bến Tre              | Bến Tre              | An Hội                         | 20672
Bến Tre              | Bình Đại             | TT. Bình Đại                   | 20675
Bến Tre              | Châu Thành           | TT. Châu Thành                 | 20676
Bến Tre              | Chợ Lách             | TT. Chợ Lách                   | 20677
Bến Tre              | Giồng Trôm           | Tân Thạch Lợi                  | 2971
Bến Tre              | Mỏ Cày Bắc           | Đường Quốc Lộ 60 (Mới)         | 21543
Bến Tre              | Mỏ Cày Nam           | TT. Mỏ Cày                     | 20682
Bến Tre              | Thạnh Phú            | TT. Thạnh Phú                  | 20680
Bình Dương           | Bàu Bàng             | phường bầu bàng                | 21548
Bình Dương           | Bến Cát              | Bến Thành                      | 1255
Bình Dương           | Bến Cát              | Cầu Kho                        | 1256
Bình Dương           | Bến Cát              | Cầu Ông Lãnh                   | 1257
Bình Dương           | Bến Cát              | Cô Giang                       | 1260
Bình Dương           | Bến Cát              | Đa Kao                         | 1261
Bình Dương           | Bến Cát              | Lai Uyên                       | 1265
Bình Dương           | Bến Cát              | Long Nguyên                    | 1266
Bình Dương           | Bến Cát              | Nguyễn Cư Trinh                | 1268
Bình Dương           | Bến Cát              | Nguyễn Thái Bình               | 1269
Bình Dương           | Bến Cát              | Phạm Ngũ Lão                   | 1270
Bình Dương           | Bến Cát              | Trừ Văn Thố                    | 1275
Bình Dương           | Dầu Tiếng            | TT. Dầu Tiếng                  | 20463
Bình Dương           | Dĩ An                | 57 đường Thống Nhất, Phường Đông Hòa | 21511
Bình Dương           | Dĩ An                | Trị trấn Dĩ An                 | 1293
Bình Dương           | Phú Giáo             | Cát Bi                         | 1340
Bình Dương           | Phú Giáo             | Đằng Hải                       | 1341
Bình Dương           | Phú Giáo             | Đằng Lâm                       | 1342
Bình Dương           | Phú Giáo             | Đông Hải 1                     | 1343
Bình Dương           | Phú Giáo             | Đông Hải 2                     | 1344
Bình Dương           | Phú Giáo             | Nam Hải                        | 1345
Bình Dương           | Phú Giáo             | Thành Tô                       | 1352
Bình Dương           | Phú Giáo             | Tràng Cát                      | 1353
Bình Dương           | Tân Uyên             | Đất Cuốc                       | 1295
Bình Dương           | Thuận An             | Số 8 Hữu Nghị                  | 21522
Bình Định            | An Lão               | TT. An Lão                     | 21428
Bình Định            | Hoài Ân              | ĐakMang                        | 2178
Bình Định            | Phù Mỹ               | TT. Phù Mỹ                     | 21437
Bình Định            | Tây Sơn              | Bình Hiệp                      | 2254
Bình Định            | Tuy Phước            | TT. Tuy Phước                  | 21443
Bình Định            | Vân Canh             | TT. Vân Canh                   | 21446
Bình Định            | Vĩnh Thạnh           | TT. Vĩnh Thạnh                 | 21447
Bình Phước           | Bù Đốp               | TT. Thanh Bình                 | 20504
Bình Phước           | Chơn Thành           | Hưng Long                      | 2959
Bình Phước           | Lộc Ninh             | TT. Lộc Ninh                   | 20521
Cà Mau               | Cà Mau               | Đường số 7 đối diện vincom cà mau | 21535
Cà Mau               | Cái Nước             | TT. Cái Nước                   | 20684
Cà Mau               | Cái Nước             | Việt Thắng                     | 3171
Cà Mau               | Đầm Dơi              | TT. Đầm Dơi                    | 20685
Cà Mau               | Năm Căn              | Bình Thành                     | 3219
Cà Mau               | Năm Căn              | Cây Dương                      | 3220
Cà Mau               | Năm Căn              | Hòa An                         | 3226
Cà Mau               | Năm Căn              | Hòa Mỹ                         | 3227
Cà Mau               | Năm Căn              | Kim Cùng                       | 3228
Cà Mau               | Năm Căn              | Phụng Hiệp                     | 3231
Cà Mau               | Năm Căn              | Phương Bình                    | 3232
Cà Mau               | Năm Căn              | Tân Bình                       | 3236
Cà Mau               | Năm Căn              | Thạnh Hòa                      | 3239
Cà Mau               | Năm Căn              | TT. Năm Căn                    | 20686
Cà Mau               | Phú Tân              | Vị Bình                        | 3247
Cà Mau               | Phú Tân              | Vị Đông                        | 3248
Cà Mau               | Phú Tân              | Vị Thanh                       | 3250
Cà Mau               | Phú Tân              | Vị Thủy                        | 3251
Cà Mau               | Phú Tân              | Vị Trung                       | 3252
Cà Mau               | Phú Tân              | Vĩnh Thuận Tây                 | 3254
Cà Mau               | Phú Tân              | Vĩnh Trung                     | 3255
Cà Mau               | Thới Bình            | TT. Thới Bình                  | 20694
Cần Thơ              | Cái Răng             | vũ đình liệu                   | 21546
Cần Thơ              | Cờ Đỏ                | Thạnh An                       | 3318
Cần Thơ              | Cờ Đỏ                | Thạnh Lộc                      | 3319
Cần Thơ              | Cờ Đỏ                | Thạnh Lợi                      | 3320
Cần Thơ              | Cờ Đỏ                | Thạnh Mỹ                       | 3321
Cần Thơ              | Cờ Đỏ                | Thạnh Quới                     | 3322
Cần Thơ              | Cờ Đỏ                | Thạnh Thắng                    | 3323
Cần Thơ              | Cờ Đỏ                | Thạnh Tiến                     | 3324
Cần Thơ              | Cờ Đỏ                | TT. Thạnh An                   | 20455
Cần Thơ              | Cờ Đỏ                | TT. Vĩnh Thạnh                 | 20454
Cần Thơ              | Cờ Đỏ                | Vĩnh Bình                      | 3325
Cần Thơ              | Cờ Đỏ                | Vĩnh Trinh                     | 3326
Cần Thơ              | Phong Điền           | Định Môn                       | 3306
Cần Thơ              | Phong Điền           | Đông Bình                      | 3307
Cần Thơ              | Phong Điền           | Đông Thuận                     | 3308
Cần Thơ              | Phong Điền           | Tân Thạnh                      | 3309
Cần Thơ              | Phong Điền           | Thới Tân                       | 3310
Cần Thơ              | Phong Điền           | Thới Thạnh                     | 3311
Cần Thơ              | Phong Điền           | Trường Thắng                   | 3312
Cần Thơ              | Phong Điền           | Trường Thành                   | 3313
Cần Thơ              | Phong Điền           | Trường Xuân                    | 3314
Cần Thơ              | Phong Điền           | Trường Xuân A                  | 3315
Cần Thơ              | Phong Điền           | Trường Xuân B                  | 3316
Cần Thơ              | Phong Điền           | TT. Thới Lai                   | 20456
Cần Thơ              | Phong Điền           | Xuân Thắng                     | 3317
Cần Thơ              | Thới Lai             | Cam Hải Đông                   | 3330
Cần Thơ              | Thới Lai             | Đông Hiệp                      | 20466
Cần Thơ              | Thới Lai             | Thạnh Phú                      | 20468
Cần Thơ              | Thới Lai             | Thới Đông                      | 20469
Cần Thơ              | Thới Lai             | Thới Hưng                      | 20470
Cần Thơ              | Thới Lai             | Thới Xuân                      | 20471
Cần Thơ              | Thới Lai             | Trung An                       | 20472
Cần Thơ              | Thới Lai             | Trung Hưng                     | 20473
Cần Thơ              | Thới Lai             | TT. Cờ Đỏ                      | 20465
Cần Thơ              | Vĩnh Thạnh           | Anh Dũng                       | 3339
Cần Thơ              | Vĩnh Thạnh           | Đa Phúc                        | 3340
Cần Thơ              | Vĩnh Thạnh           | Hải Thành                      | 3341
Cần Thơ              | Vĩnh Thạnh           | Hòa Nghĩa                      | 3342
Cần Thơ              | Vĩnh Thạnh           | Hưng Đạo                       | 3343
Cần Thơ              | Vĩnh Thạnh           | Tân Thành                      | 3344
Cần Thơ              | Vĩnh Thạnh           | Tân Thới                       | 20457
Cần Thơ              | Vĩnh Thạnh           | Trường Long                    | 20458
Cao Bằng             | Bảo Lạc              | TT. Bảo Lạc                    | 21102
Cao Bằng             | Bảo Lâm              | TT. Pác Miầu                   | 21108
Cao Bằng             | Hà Quảng             | Cần Nông                       | 21116
Cao Bằng             | Hà Quảng             | Cần Yên                        | 21123
Cao Bằng             | Hà Quảng             | Đa Thông                       | 3102
Cao Bằng             | Hà Quảng             | Lương Can                      | 3103
Cao Bằng             | Hà Quảng             | Lương Thông                    | 3104
Cao Bằng             | Hà Quảng             | Ngọc Động                      | 7676
Cao Bằng             | Hà Quảng             | Thanh Long                     | 21122
Cao Bằng             | Hà Quảng             | TT. Thông Nông                 | 21114
Cao Bằng             | Hà Quảng             | Yên Sơn                        | 21125
Cao Bằng             | Trùng Khánh          | Cao Chương                     | 21173
Cao Bằng             | Trùng Khánh          | Quang Hán                      | 21182
Cao Bằng             | Trùng Khánh          | Quang Trung                    | 21183
Cao Bằng             | Trùng Khánh          | Quang Vinh                     | 21184
Cao Bằng             | Trùng Khánh          | TT. Trà Lĩnh                   | 21172
Cao Bằng             | Trùng Khánh          | TT. Trùng Khánh                | 21171
Cao Bằng             | Trùng Khánh          | Xuân Nội                       | 21185
Đà Nẵng              | Hải Châu             | Hòa Cường                      | 3524
Đà Nẵng              | Hải Châu             | Khuê Trung                     | 3529
Đà Nẵng              | Liên Chiểu           | Hòa Hiệp                       | 3546
Đà Nẵng              | Liên Chiểu           | Hòa Khánh                      | 3547
Đà Nẵng              | Ngũ Hành Sơn         | bắc mỹ phú                     | 21514
Đà Nẵng              | Ngũ Hành Sơn         | Bắc Phú Mỹ                     | 21494
Đà Nẵng              | Thanh Khê            | Thanh Lộc Đán                  | 3565
Đắk Lắk              | Buôn Ma Thuột        | Cưebua                         | 10680
Đắk Lắk              | Ea H'leo             | Ea lon                         | 10723
Đắk Lắk              | Ea H'leo             | TT.Ea Drăng                    | 20831
Đắk Lắk              | Ea Súp               | Ea Rốc                         | 10748
Đắk Lắk              | Ea Súp               | TT. Ea Súp                     | 20833
Đắk Lắk              | Krông A Na           | TT. Buôn Trấp                  | 20834
Đắk Lắk              | Krông Năng           | Dliêya                         | 10782
Đắk Lắk              | Krông Năng           | TT. Krông Năng                 | 20840
Đắk Lắk              | Lắk                  | TT. Liên Sơn                   | 20841
Đắk Lắk              | M'Đrắk               | Ea M'doan                      | 10824
Đắk Lắk              | M'Đrắk               | TT. M'Drắk                     | 20843
Đắk Nông             | Cư Jút               | Bến Bạ                         | 10859
Đắk Nông             | Đăk Glong            | Long Tân                       | 10874
Đắk Nông             | Đăk Glong            | Vĩnh Biên                      | 10881
Đắk Nông             | Đắk Mil              | Thành Đông                     | 10899
Đắk Nông             | Krông Nô             | Bình Khánh Tây                 | 10946
Đắk Nông             | Tuy Đức              | Tân Bình                       | 10974
Đắk Nông             | Tuy Đức              | Tân Đồng                       | 10975
Đắk Nông             | Tuy Đức              | Tân Phú                        | 10976
Đắk Nông             | Tuy Đức              | Tân Thành                      | 10977
Đắk Nông             | Tuy Đức              | Tân Thiện                      | 10978
Đắk Nông             | Tuy Đức              | Tân Xuân                       | 10979
Đắk Nông             | Tuy Đức              | Tiến Hưng                      | 10980
Đắk Nông             | Tuy Đức              | Tiến Thành                     | 10981
Điện Biên            | Điện Biên            | Hua Bum                        | 21321
Điện Biên            | Điện Biên            | Lê Lợi                         | 21322
Điện Biên            | Điện Biên            | Mường Mô                       | 21323
Điện Biên            | Điện Biên            | Nậm Ban                        | 21324
Điện Biên            | Điện Biên            | Nậm Chà                        | 21326
Điện Biên            | Điện Biên            | Nậm Hàng                       | 21327
Điện Biên            | Điện Biên            | Nậm Manh                       | 21329
Điện Biên            | Điện Biên            | Nậm Pì                         | 21330
Điện Biên            | Điện Biên            | Pú Đao                         | 21332
Điện Biên            | Điện Biên            | Trung Chải                     | 21333
Điện Biên            | Điện Biên            | TT. Nậm Nhùn                   | 21320
Điện Biên            | Điện Biên Đông       | Bản Bo                         | 21384
Điện Biên            | Điện Biên Đông       | Bản Giang                      | 21385
Điện Biên            | Điện Biên Đông       | Bản Hon                        | 21386
Điện Biên            | Điện Biên Đông       | Bình Lư                        | 21387
Điện Biên            | Điện Biên Đông       | Giang Ma                       | 21388
Điện Biên            | Điện Biên Đông       | Hồ Thầu                        | 21389
Điện Biên            | Điện Biên Đông       | Khun Há                        | 21390
Điện Biên            | Điện Biên Đông       | Nà Tăm                         | 21391
Điện Biên            | Điện Biên Đông       | Nùng Nàng                      | 21392
Điện Biên            | Điện Biên Đông       | Sơn Bình                       | 21393
Điện Biên            | Điện Biên Đông       | Thèn Sin                       | 21395
Điện Biên            | Điện Biên Đông       | TT. Tam Đường                  | 21383
Điện Biên            | Điện Biên Đông       | Xã Hẹ Muông                    | 20137
Điện Biên            | Điện Biên Đông       | Xã Hua Thanh                   | 20138
Điện Biên            | Điện Biên Đông       | Xã Mường Nhà                   | 20140
Điện Biên            | Điện Biên Đông       | Xã Mường Phăng                 | 20141
Điện Biên            | Điện Biên Đông       | Xã Mường Pồn                   | 20142
Điện Biên            | Điện Biên Đông       | Xã Nà Nhạn                     | 20143
Điện Biên            | Điện Biên Đông       | Xã Nà Tấu                      | 20144
Điện Biên            | Điện Biên Đông       | Xã Na Tông                     | 20145
Điện Biên            | Điện Biên Đông       | Xã Núa Ngam                    | 20146
Điện Biên            | Điện Biên Đông       | Xã Pá Khoang                   | 20147
Điện Biên            | Điện Biên Đông       | Xã Pa Thơm                     | 20148
Điện Biên            | Điện Biên Đông       | Xã Phu Luông                   | 20149
Điện Biên            | Điện Biên Đông       | Xã Pom Lót                     | 20150
Điện Biên            | Điện Biên Đông       | Xã Sam Mứn                     | 20151
Điện Biên            | Điện Biên Đông       | Xã Tà Lèng                     | 20111
Điện Biên            | Điện Biên Đông       | Xã Thanh An                    | 20152
Điện Biên            | Điện Biên Đông       | Xã Thanh Chăn                  | 20153
Điện Biên            | Điện Biên Đông       | Xã Thanh Hưng                  | 20154
Điện Biên            | Điện Biên Đông       | Xã Thanh Luông                 | 20155
Điện Biên            | Điện Biên Đông       | Xã Thanh Nưa                   | 20156
Điện Biên            | Điện Biên Đông       | Xã Thanh Xương                 | 20157
Điện Biên            | Điện Biên Đông       | Xã Thanh Yên                   | 20158
Điện Biên            | Điện Biên Phủ        | Hố Mít                         | 21398
Điện Biên            | Điện Biên Phủ        | Mường Khoa                     | 21399
Điện Biên            | Điện Biên Phủ        | Nậm Cần                        | 21400
Điện Biên            | Điện Biên Phủ        | Nậm Sỏ                         | 21401
Điện Biên            | Điện Biên Phủ        | Pắc Ta                         | 21402
Điện Biên            | Điện Biên Phủ        | Phúc Khoa                      | 21403
Điện Biên            | Điện Biên Phủ        | Tà Mít                         | 21404
Điện Biên            | Điện Biên Phủ        | Thân Thuộc                     | 21405
Điện Biên            | Điện Biên Phủ        | Trung Đồng                     | 21407
Điện Biên            | Điện Biên Phủ        | TT. Tân Uyên                   | 21397
Điện Biên            | Điện Biên Phủ        | Xã Mường Phăng                 | 20116
Điện Biên            | Điện Biên Phủ        | Xã Nà Nhạn                     | 20118
Điện Biên            | Điện Biên Phủ        | Xã Nà Tấu                      | 20119
Điện Biên            | Điện Biên Phủ        | Xã Pá Khoang                   | 20125
Điện Biên            | Mường Chà            | Xã Xá Tổng                     | 20180
Đồng Nai             | Long Thành           | Ấp Đồi Rùi, xã Hàng Gòn        | 21495
Đồng Nai             | Long Thành           | Suối Nho                       | 1171
Đồng Nai             | Long Thành           | Suối Trầu                      | 1172
Đồng Nai             | Tân Phú              | Đắc Lua                        | 1187
Đồng Nai             | Tân Phú              | TT. Tân Phú                    | 20334
Đồng Nai             | Thống Nhất           | Bàu Hàm II                     | 1199
Đồng Nai             | Thống Nhất           | Gia Tân II                     | 1202
Đồng Nai             | Thống Nhất           | Gia Tân III                    | 1203
Đồng Nai             | Thống Nhất           | TT. Dầu Giây                   | 20340
Đồng Nai             | Thống Nhất           | Xuân Thạnh                     | 1206
Đồng Tháp            | Cao Lãnh             | An Bình                        | 7704
Đồng Tháp            | Cao Lãnh             | Ba Sao                         | 20622
Đồng Tháp            | Cao Lãnh             | Bình Hàng Tây                  | 20623
Đồng Tháp            | Cao Lãnh             | Bình Hàng Trung                | 20624
Đồng Tháp            | Cao Lãnh             | Bình Thạnh                     | 20625
Đồng Tháp            | Cao Lãnh             | Gáo Giồng                      | 20626
Đồng Tháp            | Cao Lãnh             | Gáo Giồng                      | 20627
Đồng Tháp            | Cao Lãnh             | Mỹ Hiệp                        | 20628
Đồng Tháp            | Cao Lãnh             | Mỹ Hội                         | 20629
Đồng Tháp            | Cao Lãnh             | Mỹ Long                        | 20630
Đồng Tháp            | Cao Lãnh             | Mỹ Thọ                         | 3594
Đồng Tháp            | Cao Lãnh             | Mỹ Xương                       | 20632
Đồng Tháp            | Cao Lãnh             | Nhị Mỹ                         | 20633
Đồng Tháp            | Cao Lãnh             | Phong Mỹ                       | 20634
Đồng Tháp            | Cao Lãnh             | Phương Thịnh                   | 20635
Đồng Tháp            | Cao Lãnh             | Phương Trà                     | 20636
Đồng Tháp            | Cao Lãnh             | Phương Trà                     | 20637
Đồng Tháp            | Cao Lãnh             | Tân Hội Trung                  | 20638
Đồng Tháp            | Cao Lãnh             | Tân Nghĩa                      | 20639
Đồng Tháp            | Cao Lãnh             | TT. Mỹ Thọ                     | 20631
Đồng Tháp            | Hồng Ngự             | Long Khánh A                   | 11025
Đồng Tháp            | Hồng Ngự             | Long Khánh B                   | 11026
Đồng Tháp            | Hồng Ngự             | Long Thuận                     | 11027
Đồng Tháp            | Hồng Ngự             | Phú Thuận A                    | 11028
Đồng Tháp            | Hồng Ngự             | Phú Thuận B                    | 11029
Đồng Tháp            | Hồng Ngự             | Thường Lạc                     | 11031
Đồng Tháp            | Hồng Ngự             | Thường Phước 1                 | 11032
Đồng Tháp            | Hồng Ngự             | Thường Phước 2                 | 11033
Đồng Tháp            | Hồng Ngự             | Thường Thới Hậu A              | 11034
Đồng Tháp            | Hồng Ngự             | Thường Thới Hậu B              | 11035
Đồng Tháp            | Hồng Ngự             | Thường Thới Tiền               | 11036
Đồng Tháp            | Lai Vung             | TT. Lai Vung                   | 20640
Đồng Tháp            | Lấp Vò               | TT. Lấp Vò                     | 20641
Đồng Tháp            | Thanh Bình           | TT. Thanh Bình                 | 20642
Gia Lai              | Chư Prông            | TT. Chư Prông                  | 20891
Gia Lai              | Chư Sê               | A Lbá                          | 3402
Gia Lai              | Chư Sê               | TT. Chư Sê                     | 20906
Gia Lai              | Đăk Đoa              | Hneng                          | 20921
Gia Lai              | Đăk Đoa              | Kdang                          | 20929
Gia Lai              | Đăk Pơ               | TT. Đak Pơ                     | 20935
Gia Lai              | KBang                | Kông B'La                      | 3430
Gia Lai              | KBang                | TT. Kbang                      | 20952
Gia Lai              | Kông Chro            | TT. Kông Chro                  | 20954
Gia Lai              | Mang Yang            | Ðak Drjang                     | 3479
Gia Lai              | Mang Yang            | Ðak Ya                         | 3483
Gia Lai              | Mang Yang            | Ðê Ar                          | 3484
Gia Lai              | Phú Thiện            | TT. Phú Thiện                  | 20955
Hà Giang             | Bắc Quang            | Kim Ngẩu                       | 3731
Hà Giang             | Đồng Văn             | TT. Đồng Văn                   | 21064
Hà Giang             | Mèo Vạc              | TT. Mèo Vạc                    | 21068
Hà Giang             | Quang Bình           | TT. Yên Bình                   | 21070
Hà Giang             | Vị Xuyên             | TT. Vị Xuyên                   | 21085
Hà Giang             | Yên Minh             | TT. Yên Minh                   | 21087
Hà Nam               | Duy Tiên             | Tiên Sơn                       | 21005
Hà Nam               | Kim Bảng             | Châu Sơn                       | 3623
Hà Nam               | Kim Bảng             | Phù Vân                        | 3635
Hà Nam               | Lý Nhân              | Nhân Hậu                       | 3656
Hà Nam               | Lý Nhân              | Nhân Tiến                      | 3663
Hà Nam               | Thanh Liêm           | TT. Tân Thanh                  | 21016
Hà Nội               | Ba Đình              | Đội Nhân                       | 21486
Hà Nội               | Bắc Từ Liêm          | Bến Nghé                       | 21491
Hà Nội               | Bắc Từ Liêm          | Cầu Diễn                       | 21492
Hà Nội               | Bắc Từ Liêm          | Nguyễn Trung Trực              | 520
Hà Nội               | Bắc Từ Liêm          | Quán Thánh                     | 523
Hà Nội               | Bắc Từ Liêm          | Thành Công                     | 526
Hà Nội               | Bắc Từ Liêm          | Trúc Bạch                      | 529
Hà Nội               | Chương Mỹ            | Ngọc Sơn                       | 853
Hà Nội               | Đống Đa              | Nguyễn Trãi                    | 736
Hà Nội               | Gia Lâm              | Chiến Thắng                    | 589
Hà Nội               | Gia Lâm              | Cự Khối                        | 590
Hà Nội               | Gia Lâm              | Đại Hưng                       | 591
Hà Nội               | Gia Lâm              | Đức Thắng                      | 594
Hà Nội               | Gia Lâm              | Gia Lâm                        | 596
Hà Nội               | Gia Lâm              | Giang Biên                     | 597
Hà Nội               | Gia Lâm              | Hồng Tiến                      | 598
Hà Nội               | Gia Lâm              | Long Biên                      | 600
Hà Nội               | Gia Lâm              | Ngọc Thụy                      | 601
Hà Nội               | Gia Lâm              | Phúc Lợi                       | 604
Hà Nội               | Gia Lâm              | Quang Minh                     | 605
Hà Nội               | Gia Lâm              | Quang Trung I                  | 606
Hà Nội               | Gia Lâm              | Quang Trung II                 | 607
Hà Nội               | Gia Lâm              | Quyết Chiến                    | 608
Hà Nội               | Gia Lâm              | Quyết Thắng                    | 609
Hà Nội               | Gia Lâm              | Quyết Tiến                     | 610
Hà Nội               | Gia Lâm              | Tân Hưng                       | 611
Hà Nội               | Gia Lâm              | Thạch Bàn                      | 612
Hà Nội               | Gia Lâm              | Thừa Thiên                     | 613
Hà Nội               | Gia Lâm              | Thượng Thanh                   | 614
Hà Nội               | Gia Lâm              | Tiến Bộ                        | 615
Hà Nội               | Gia Lâm              | Tiền Phong                     | 616
Hà Nội               | Gia Lâm              | Toàn Thắng                     | 617
Hà Nội               | Gia Lâm              | Trung Hưng                     | 618
Hà Nội               | Gia Lâm              | Trung Thành                    | 619
Hà Nội               | Gia Lâm              | TT. Trâu Quỳ                   | 20355
Hà Nội               | Gia Lâm              | Việt Hưng                      | 621
Hà Nội               | Hà Đông              | 3 tòa cũ KDT Thanh Hà, phường Kiến Hưnh | 21539
Hà Nội               | Hà Đông              | KDT Thanh Hà                   | 21537
Hà Nội               | Hà Đông              | kiến hưng- hà đông             | 21533
Hà Nội               | Hà Đông              | phan kế toại                   | 21534
Hà Nội               | Hà Đông              | Văn Khê                        | 898
Hà Nội               | Hà Đông              | Văn Mỗ                         | 20030
Hà Nội               | Hai Bà Trưng         | Cửa Nam                        | 712
Hà Nội               | Hoàn Kiếm            | Cống Vị                        | 764
Hà Nội               | Hoàng Mai            | 120 định công                  | 21504
Hà Nội               | Hoàng Mai            | Bồ Đề                          | 662
Hà Nội               | Hoàng Mai            | Cự Khối                        | 663
Hà Nội               | Hoàng Mai            | Đức Giang                      | 666
Hà Nội               | Hoàng Mai            | Gia Thụy                       | 667
Hà Nội               | Hoàng Mai            | Văn Điển                       | 20047
Hà Nội               | Long Biên            | Hồng Tiến                      | 652
Hà Nội               | Long Biên            | Lê Đức Thọ                     | 21541
Hà Nội               | Long Biên            | Tà Pơơ                         | 21490
Hà Nội               | Mê Linh              | Cao Minh                       | 782
Hà Nội               | Mê Linh              | Nam Viêm                       | 789
Hà Nội               | Mê Linh              | Ngọc Thanh                     | 790
Hà Nội               | Mê Linh              | Phúc Thắng                     | 791
Hà Nội               | Mê Linh              | Phúc Yên                       | 792
Hà Nội               | Mê Linh              | Tiền Châu                      | 797
Hà Nội               | Mê Linh              | TT. Chi Đông                   | 20369
Hà Nội               | Mê Linh              | Xuân Hòa                       | 805
Hà Nội               | Phú Xuyên            | Nam Tiến                       | 20382
Hà Nội               | Phú Xuyên            | TT. Phú Minh                   | 20371
Hà Nội               | Phú Xuyên            | TT. Phú Xuyên                  | 20370
Hà Nội               | Phúc Thọ             | Sen Phương                     | 20397
Hà Nội               | Phúc Thọ             | Thị trấn Gạch                  | 958
Hà Nội               | Phúc Thọ             | TT. Phúc Thọ                   | 20396
Hà Nội               | Phúc Thọ             | Xuân Đình                      | 20398
Hà Nội               | Quốc Oai             | TT. Quốc Oai                   | 20399
Hà Nội               | Sóc Sơn              | TT. Sóc Sơn                    | 20400
Hà Nội               | Thạch Thất           | TT. Liên Quan                  | 20402
Hà Nội               | Thanh Oai            | Biên Giang                     | 1026
Hà Nội               | Thanh Trì            | Biên Giang                     | 533
Hà Nội               | Thanh Trì            | Dương Nội                      | 537
Hà Nội               | Thanh Trì            | Đồng Mai                       | 535
Hà Nội               | Thanh Trì            | Đường 32                       | 21540
Hà Nội               | Thanh Trì            | Hà Cầu                         | 539
Hà Nội               | Thanh Trì            | Kiến Hưng                      | 541
Hà Nội               | Thanh Trì            | La Khê                         | 542
Hà Nội               | Thanh Trì            | Mỗ Lao                         | 544
Hà Nội               | Thanh Trì            | Nguyễn Du                      | 547
Hà Nội               | Thanh Trì            | Nguyễn Trãi                    | 548
Hà Nội               | Thanh Trì            | Phú La                         | 549
